state,x,y
Andhra Pradesh,-75,-225
Arunachal Pradesh,290,130
Assam,261,78
Bihar,88,60
Chhattisgarh,6,-32
Goa,-220,-220
Gujarat,-273,-9
Haryana,-154,162
Himachal Pradesh,-134,250
Jharkhand,72,9
Karnataka,-170,-230
Kerala,-165,-342
Madhya Pradesh,-100,-10
Maharashtra,-169,-107
Manipur,310,25
Meghalaya,221,54
Mizoram,263,-2
Nagaland,312,74
Odisha,57,-68
Punjab,-168,205
Rajasthan,-221,76
Sikkim,153,114
Tamil Nadu,-105,-330
Telangana,-80,-151
Tripura,231,9
Uttarakhand,-73,190
Uttar Pradesh,-32,90
West Bengal,140,-12